Disciplina,Hierarquia,Nivel,Indice,Quantidade,Quantidade_Caderno
Direito Constitucional,03.05.01,3,Direitos Sociais e dos Trabalhadores (arts. 6º e 7º da CF/1988),243,243
Direito Constitucional,03.05.02,3,Direitos Coletivos dos Trabalhadores (arts. 8º a 11 da CF/1988),69,69
Direito Constitucional,03.06,2,Da Nacionalidade (arts. 12 e 13 da CF/1988),295,295
Direito Constitucional,03.06.01,3,Espécies de Nacionalidade (Brasileiros Natos e Naturalizados),122,122
Direito Constitucional,03.06.02,3,Distinções Constitucionais entre Brasileiros Natos e Naturalizados,80,80
Direito Constitucional,03.06.03,3,Perda da Nacionalidade,36,36
Direito Constitucional,03.06.04,3,"Extradição, Deportação, Expulsão e Banimento (da Nacionalidade)",52,52
Direito Constitucional,03.06.05,3,Dos Símbolos e Idioma da República (art. 13 da CF/1988),5,5
Direito Constitucional,03.07,2,Direitos Políticos (arts. 14 a 16 da CF/1988),363,363
Direito Constitucional,03.07.01,3,"Soberania Popular (Voto, Plebiscito, Referendo, Iniciativa popular), Alistamento e Elegibilidade",202,202
Direito Constitucional,03.07.02,3,Inelegibilidades (Direitos Políticos),89,89
Direito Constitucional,03.07.03,3,Perda e Suspensão dos Direitos Políticos,72,72
Direito Constitucional,03.08,2,Partidos Políticos (art. 17 da CF/1988),84,84
Direito Constitucional,04,1,Da Organização do Estado (arts. 18 a 43 da CF/1988),2034,2034
Direito Constitucional,04.01,2,Da Organização Político-Administrativa (arts. 18 e 19 da CF/1988),175,175
Direito Constitucional,04.02,2,"União: Bens e Competências Exclusivas, Privativas, Comuns e Concorrentes (arts. 20 a 24 da CF/1988)",496,496
Direito Constitucional,04.03,2,"Estados Federados - Organização, Competências, Bens (arts. 25 a 28 da CF/1988)",135,135
Direito Constitucional,04.04,2,Municípios - Organização e Competências (arts. 29 a 31 da CF/1988),208,208
Direito Constitucional,04.05,2,Do Distrito Federal e dos Territórios (arts. 32 e 33 da CF/1988),80,80
Direito Constitucional,04.06,2,Intervenção Federal e Estadual (arts. 34 a 36 da CF/1988),169,169
Direito Constitucional,04.07,2,Administração Pública (arts. 37 a 43 da CF/1988),730,730
Direito Constitucional,04.07.01,3,Disposições Gerais (Administração Pública - arts. 37 e 38 da CF/1988),507,507
Direito Constitucional,04.07.02,3,Dos Servidores Públicos (arts. 39 a 41 da CF/1988),202,202
Direito Constitucional,04.07.03,3,"Dos Militares dos Estados, do Distrito Federal e dos Territórios (art. 42 da CF/1988)",19,19
Direito Constitucional,04.07.04,3,"Das Regiões (Administração Pública, art. 43 da CF/1988)",2,2
Direito Constitucional,04.08,2,Questões Mescladas de Organização do Estado (arts. 18 a 43 da CF/1988),41,41
Direito Constitucional,05,1,Da Organização dos Poderes (arts. 44 a 135 da CF/1988),3473,3473
Direito Constitucional,05.01,2,Do Poder Legislativo (arts. 44 a 75 da CF/1988),1458,1458
Direito Constitucional,05.01.01,3,Do Congresso Nacional (arts. 44 a 47 da CF/1988),68,68
Direito Constitucional,05.01.02,3,Das Atribuições do Congresso Nacional (arts. 48 a 50 da CF/1988) ,120,120
Direito Constitucional,05.01.03,3,Da Câmara dos Deputados (art. 51 da CF/1988),45,45
Direito Constitucional,05.01.04,3,Do Senado Federal (art. 52 da CF/1988),62,62
Direito Constitucional,05.01.05,3,Dos Deputados e Senadores (arts. 53 a 56 da CF/1988),128,128
Direito Constitucional,05.01.06,3,Das Reuniões (art. 57 da CF/1988),14,14
Direito Constitucional,05.01.07,3,Das Comissões Parlamentares - Permanentes e Temporárias (art. 58 da CF/1988),131,131
Direito Constitucional,05.01.08,3,Processo Legislativo (arts. 59 a 69 da CF/1988),583,583
Direito Constitucional,05.01.08.01,4,"Disposição Geral (Processo Legislativo, art. 59 da CF/1988)",15,15
Direito Constitucional,05.01.08.02,4,Da Emenda à Constituição (art. 60 da CF/1988),146,146
Direito Constitucional,05.01.08.03,4,Leis Ordinárias e Complementares,48,48
Direito Constitucional,05.01.08.04,4,Medidas Provisórias,145,145
Direito Constitucional,05.01.08.05,4,Leis Delegadas,16,16
Direito Constitucional,05.01.08.06,4,Resoluções e Decretos Legislativos,12,12
Direito Constitucional,05.01.08.07,4,"Fases do Processo Legislativo (Iniciativa, Discussão, Voto, Veto, Sanção, Promulgação e Publicação)",151,151
Direito Constitucional,05.01.08.08,4,Questões Mescladas de Processo Legislativo (arts. 59 a 69 da CF/1988),50,50
Direito Constitucional,05.01.09,3,"Da Fiscalização Contábil, Financeira e Orçamentária (arts. 70 a 75 da CF/1988)",266,266
Direito Constitucional,05.01.09.01,4,Competências para Fiscalização e Tribunal de Contas da União (arts. 70 a 73 da CF/1988),186,186
Direito Constitucional,05.01.09.02,4,Sistema de Controle Interno (art. 74 da CF/1988),21,21
Direito Constitucional,05.01.09.03,4,"Tribunais de Contas Estaduais, Distrital e Municipais",59,59
Direito Constitucional,05.01.10,3,Questões Mescladas de Poder Legislativo (arts. 44 a 75 da CF/1988),41,41
Direito Constitucional,05.02,2,Do Poder Executivo (arts. 76 a 91 da CF/1988),423,423
Direito Constitucional,05.02.01,3,Do Presidente e Vice Presidente da República (arts. 76 a 83 da CF/1988),69,69
Direito Constitucional,05.02.02,3,Das Atribuições do Presidente da República (art. 84 da CF/1988),203,203
Direito Constitucional,05.02.03,3,Da Responsabilidade do Presidente da República (arts. 85 e 86 da CF/1988),101,101
Direito Constitucional,05.02.04,3,Dos Ministros de Estado (arts. 87 e 88 da CF/1988),23,23
Direito Constitucional,05.02.05,3,Do Conselho da República e Conselho da Defesa Nacional (arts. 89 a 91 da CF/1988),27,27
Direito Constitucional,05.03,2,Do Poder Judiciário (arts. 92 a 126 da CF/1988),993,993
Direito Constitucional,05.03.01,3,"Das Disposições Gerais (Poder Judiciário, arts. 92 a 100 da CF/1988)",242,242
Direito Constitucional,05.03.01.01,4,Órgãos do Poder Judiciário (art. 92 da CF/1988),25,25
Direito Constitucional,05.03.01.02,4,Do Estatuto da Magistratura (art. 93 da CF/1988),46,46
Direito Constitucional,05.03.01.03,4,Do Quinto Constitucional (art. 94 da CF/1988),16,16
Direito Constitucional,05.03.01.04,4,"Das Garantias e Vedações (Poder Judiciário, art. 95 da CF/1988)",47,47
Direito Constitucional,05.03.01.05,4,"Competências Privativas (Poder Judiciário, art. 96 da CF/1988)",22,22
Direito Constitucional,05.03.01.06,4,"Reserva de Plenário (Poder Judiciário, art. 97 da CF/1988)",21,21
Direito Constitucional,05.03.01.07,4,Juizados Especiais e Justiça de Paz (art. 98 da CF/1988),6,6
